State	Organization	URL	ExpectedLogo	HasLogo
National	Wetlands America Trust (affiliate)	https://www.ducks.org/conservation/wetlands-america-trust	Wetlands_America_Trust_(affiliate)_logo.png	No
National	Sustainable Conservation (affiliate)	https://suscon.org	Sustainable_Conservation_(affiliate)_logo.png	No
National	The Trust for Public Land	https://www.tpl.org	The_Trust_for_Public_Land_logo.png	No
Alabama	Land Trust of North Alabama	https://www.landtrustnal.org	Land_Trust_of_North_Alabama_logo.png	No
Alaska	Great Land Trust	https://greatlandtrust.org	Great_Land_Trust_logo.png	No
Alaska	Southeast Alaska Land Trust	https://sealt.org	Southeast_Alaska_Land_Trust_logo.png	No
Arizona	Desert Foothills Land Trust	https://dflandtrust.org	Desert_Foothills_Land_Trust_logo.png	No
California	Cayucos Land Conservancy	https://cayucoslandconservancy.org	Cayucos_Land_Conservancy_logo.png	No
Colorado	Black Canyon Regional Land Trust	https://bcrlt.org	Black_Canyon_Regional_Land_Trust_logo.png	No
Colorado	Colorado Cattlemen’s Agricultural Land Trust	https://ccalt.org	Colorado_Cattlemen’s_Agricultural_Land_Trust_logo.png	No
Colorado	Colorado Headwaters Land Trust	https://headwaterslandtrust.org	Colorado_Headwaters_Land_Trust_logo.png	No
Connecticut	Branford Land Trust	https://branfordlandtrust.org	Branford_Land_Trust_logo.png	No
Connecticut	Candlewood Valley Regional Land Trust	https://candlewoodvalleylandtrust.org	Candlewood_Valley_Regional_Land_Trust_logo.png	No
Florida	Conservation Foundation of the Gulf Coast	https://www.conservationfoundation.com	Conservation_Foundation_of_the_Gulf_Coast_logo.png	No
Florida	Tall Timbers Research Station & Land Conservancy	https://talltimbers.org	Tall_Timbers_Research_Station_and_Land_Conservancy_logo.png	No
Georgia	Athens Land Trust	https://athenslandtrust.org	Athens_Land_Trust_logo.png	No
Georgia	Chattooga Conservancy	https://chattoogaconservancy.org	Chattooga_Conservancy_logo.png	No
Georgia	Georgia Piedmont Land Trust	https://gplandtrust.org	Georgia_Piedmont_Land_Trust_logo.png	No
Georgia	St. Simons Land Trust	https://sslt.org	St._Simons_Land_Trust_logo.png	No
Idaho	Wood River Land Trust	https://www.woodriverlandtrust.org	Wood_River_Land_Trust_logo.png	No
