Organization	URL	H1	MetaTitle	MetaDescription	NavItems	CTAs	DonateURL	DonationProvider	NewsletterURL	EventsURL	StaffBoardURL	Facebook	Instagram	YouTube	LinkedIn	Status
Name	Website															"Error: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating t"
Groundswell	https://groundswellconservancy.org/	Protect Special Places, Forever	Groundswell Conservancy - Protect Special Places, Forever	Groundswell Conservancy is a Wisconsin nonprofit land trust. We believe you deserve a world filled with green places where communities thrive.	Skip Navigation | Who We Are | Mission | History | Staff | Board of Directors | Contact Us | What We Do | Act On Climate Crisis | Connect People With Nature | Conserve Wildlife Habitat | Provide Equitable Access to Land | Keep Farmland, Farmland | Create Green Schoolyards | Get Involved	more ways to give, outdoor volunteering, learn more about volunteering, donate, donate with confidence, ways to give	https://groundswellconservancy.org/donate/	Other	https://groundswellconservancy.org/news/newsletters/	https://groundswellconservancy.org/events/	https://groundswellconservancy.org/who-we-are/board-of-directors/	https://www.facebook.com/groundswell.wi/	https://scontent-iad3-2.cdninstagram.com/v/t39.30808-6/544811637_1181651890671903_107283176895501434_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=1-7&_nc_sid=18de74&_nc_ohc=pZgCn1wwY00Q7kNvwGc599g&_nc_oc=AdlcZ39GBkUwUY4Wxv5ZMeh6rJBsUQojbOoC9botRG3RZ9JSpoHHDZMKheUeuzOq0h4&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=fa1lMrIO2yE6Y2NQ1zJndg&oh=00_AfZ4ey8M_dq1Z6chtPf6r2lJY9QTh3PaBGLMEgg2CphQ0w&oe=68C90675		https://www.linkedin.com/company/groundswell-conservancy	OK
Ice Age Trail	https://www.iceagetrail.org/	Explore the Trail	Ice Age National Scenic Trail Wisconsin | Ice Age Alliance	Our mission is to conserve, create, maintain, & promote the Ice Age National Scenic Trail. Become a member to support our mission & get members-only perks.	Ice Age Trail Alliance | Email Signup | Members | Trail Map | Donate | Shop | Explore | Discover the Trail | Interactive Map | Segment by Segment Tour | Ice Age Trail Facts | Trail Communities | Mammoth Hike Challenge | Trailtessa Retreats | Ways to Enjoy the Trail	help ensure the ice age trail is here for generations to come. donate today. ►, maintenance sweep volunteers care for the lake eleven segment, join the ice age trail alliance to support our mission and get members-only perks. ►, member & volunteer resources, volunteer, volunteer spotlight: steve larson!, volunteer spotlight: mark graczykowski!, trail shuttles and volunteer help, volunteer spotlight: patti herman!, volunteer spotlight: amanda fischer!, volunteers craft a mile of brand-new trail!, donate, get involved!become a volunteer., volunteer spotlight: jenny gramer!, donate to iata, iata member or volunteer? access important news & info here. ►, other ways to give, ways to give	https://www.iceagetrail.org/get-involved/contribute/	Other		https://www.iceagetrail.org/trailbuilding-blue-hills-may-2025/	https://www.iceagetrail.org/iata/history/board-directors/	https://www.facebook.com/iceagetrail	https://instagram.com/iceagetrailorg			OK
Driftless	https://www.driftlessconservancy.org/	Conservation. Care. Connection.	Driftless Area Land Conservancy, The Land Trust for Southwest Wisconsin	Driftless Area Land Conservancy's purpose is to maintain and enhance the health, diversity and beauty of Southwest Wisconsin's natural and agricultural landscape through permanent land protection and restoration, and improve people's lives by connecting them to the land and to each other.	DONATE | CALENDAR OF EVENTS | HOME | Land Protection | Ambassador Properties | Our Energy Future | Driftless Trail | Lowery Creek Watershed | Southern Driftless Grasslands | Transmission Line Opposition | Protect Your Land | Manage Your Land | Find an Event & Register | Volunteer | Latest News	volunteer, give today, join the legacy society, donate, ways to give	https://www.driftlessconservancy.org/give-today	Other	https://www.driftlessconservancy.org/newsletter	https://www.driftlessconservancy.org/calendar-of-events	https://www.driftlessconservancy.org/our-board	https://www.facebook.com/driftlessconservancy	https://www.instagram.com/driftless_dalc/	https://www.youtube.com/channel/UCVA-I8CGn-XqahF6GD5GSTA/		OK
SW Wisc Birds	https://swibirds.org/		Southern Wisconsin Bird Alliance (formerly Madison Audubon)	"Southern Wisconsin Bird Alliance (formerly Madison Audubon) is 
south-central Wisconsin's chapter of the National Audubon Society. We know 
that birds make life better, in south-central Wisconsin and beyond. Become 
a Southern Wisconsin Bird Alliance member today and help share the joy of 
birds."	Translate | What we do | Who we are | Our New Name | Bird & Nature Blog | Newsletters & Reports | Commitment to Equity & Inclusion | Relationship to National | Our Partners | Community Standards | Contact Us | Friday Feathered Features | All About Birding | Entryway to Birding Blog | Who's That Singing?	volunteer, join, donate  today!, renew, renewable energy projects, support birds, habitats, and kids, ways to give	/donate	Other	/newsletters-reports	/events		http://facebook.com/swibirds/	http://instagram.com/swibirds	https://www.youtube.com/@SWiBirds		OK
Tall Pines	https://tallpinesconservancy.org/		Home		Blog | Contact | Gallery | About | Home | About us | News | our work | WHY PROTECT LAND | Home | WAYS TO GIVE | Donate | Contact us | GET INVOLVED | + Events Home	join our mailing list, donate, events & volunteer, thank you to our corporate supporters, ways to give	https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=SBCH7Z3DNX5QG&source=url	PayPal		/get-involved	/meet-the-board	https://www.facebook.com/Tall-Pines-Conservancy-332276452045/	https://www.instagram.com/tall_pines_conservancy/?hl=en	https://www.youtube.com/user/TallPinesConservancy		OK
Northwoods LT	https://northwoodslandtrust.org/	Leaving a Legacy of Land for the Northwoods	Northwoods Land Trust		Skip to content | AboutUs | Our History | Our Service & Focus Areas | Old-Growth Forest Initiative | Shoreland Protection Initiative | Climate Conservation Solutions Initiative | FAQs | ConservedLands | ProtectYour Land | SupportNWLT | Northwoods Legacy Society | OurPublications | Publications Archive | News& Events	support nwlt, donate, supportnwlt, volunteer day at holmboe conifer forest	https://northwoodslandtrust.org/support-nwlt/donation-form/	Other	#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6IjE0MDQiLCJ0b2dnbGUiOmZhbHNlfQ%3D%3D	https://northwoodslandtrust.org/event/hike-at-beaver-creek-hemlocks/		https://www.facebook.com/NorthwoodsLandTrust/	https://www.instagram.com/northwoods_land_trust/?hl=bg	https://www.youtube.com/@northwoodslandtrust6460		OK
Prairie Enthusists	https://theprairieenthusiasts.org/	PRAIRIES NEED YOUR CARE	Prairie Enthusiasts | Save Your Local Rare Habitats		About Us | Mission | Who We Are | Business | Contact Us | FAQ | Work With Us! | Our Chapters | Find your chapter | Chippewa Savannas | Coulee Region | Empire-Sauk | Glacial Prairie | Many Rivers | Minnesota Driftless	more ways to give, volunteering, donate, volunteer	https://secure.qgiv.com/for/theprairieenthusiasts/	Qgiv		https://theprairieenthusiasts.org/tpe-events/events-calendar/		https://www.facebook.com/ThePrairieEnthusiasts	https://www.instagram.com/theprairieenthusiasts/	https://www.youtube.com/@theprairieenthusiasts350		OK
Gathering Waters	https://gatheringwaters.org/		Gathering Waters – Wisconsin's Alliance for Land Trusts		Skip to content | Donate | About Us | Who We Are | What We Do | Publications | Support Us | Donate | Ways To Give | Your Trust Matters | Your Impact & Thanks | Legacy Giving | Monthly Giving | About Wisconsin Land Trusts | What Is A Land Trust	donate, ways to give	https://gatheringwaters.org/ways-to-give/donate/	Other	https://secure.lglforms.com/form_engine/s/MoAxbLqlP_xcwBBvwT-WoQ	webcal://gatheringwaters.org/?post_type=tribe_events&ical=1&eventDisplay=list	https://gatheringwaters.org/about/who-we-are/	https://www.facebook.com/GatheringWatersWI/	https://www.instagram.com/gatheringwaters/		https://www.linkedin.com/company/gathering-waters-conservancy/about/	OK
Ozaukee Washington LT	https://www.owlt.org/	Want to have an event on a Restoring Lands Nature Preserve? Click here!	Restoring Lands: A Wisconsin Land Trust	The mission of Restoring Lands is to protect, connect, and restore southeast Wisconsin's lands and waters for the benefit of all.	EVENTS | STORE | DONATE | HOME | PRESERVES | SUPPORT | GET INVOLVED | CALENDAR OF EVENTS | BETTER TOGETHER: A WATERSHED MOMENT | BOARD & COMMITTEE APPLICATION | VOLUNTEER | COMMUNITY SCIENCE | EMPLOYMENT OPPORTUNITIES | NEWS | DIGITAL eNEWS	volunteer, donate, support	https://www.restoringlands.org/donate	Other	https://www.restoringlands.org/newsletter	https://www.restoringlands.org/_files/ugd/6746cd_1f58ea3cefc047eba64be95acfe436fe.pdf	https://www.restoringlands.org/board	https://www.facebook.com/restoringlandswi/	https://www.instagram.com/restoringlandswi/	https://www.youtube.com/channel/UCFW7IgqFkxwYH3NAK9u44TQ	https://www.linkedin.com/company/restoringlandswi//	OK
