Task Name,Task Role,Status,Start Date,End Date,Category,Priority,Notes,Parent Task,Subtasks,Earliest Subtask End Date,Latest Subtask End Date,Milestone
Website Overhaul,Parent Task,In progress,"July 15, 2025",,Website,High,"Track all content, UX, and dev work",,,,,🚀 Launch Milestones
Brand Strategy Framework,Parent Task,Not started,"July 15, 2025",,Strategy,Medium,Develop top-level brand strategy outline,,,,,🎯 Strategic Milestones
Communications Plan,Parent Task,In progress,"July 10, 2025",,Strategy,Medium,Includes Brand + Website milestones,,,,,🎯 Strategic Milestones
Salesforce Integration,Parent Task,Not started,"July 22, 2025","August 13, 2025",CRM,Medium,"Integrate task tracker, membership flows, and donation forms with Salesforce. Test API-based sync for custom forms, automations, and campaign tracking.",,,,,🧩 Phase 2 / Post-Launch
Supporter Funnel Strategy,Parent Task,Not started,"July 25, 2025","July 13, 2025",Messaging,High,Define identity-based supporter journeys. Align messaging and CTAs across donor types and design landing pages that drive engagement and giving behavior.,,,,,Ready To Launch
Video Strategy,Parent Task,Not started,"July 24, 2025","August 12, 2025",Brand,Medium,"Plan, script, and schedule short-form videos to support key campaigns (e.g., Bear Creek, Little Sturgeon, annual appeal). Include internal video standards, timelines, and post-production workflow.",,,,,Ready To Launch
Visual Identity System,Parent Task,In progress,"July 20, 2025","August 5, 2025",Brand,High,"Complete development of brand system including typography, logo variants, iconography, and usage guidelines. Sets visual tone for all outward-facing materials.
",,,,,Ready To Launch
Brand Storytelling Pillars,Subtask,Not started,"July 16, 2025","July 22, 2025",Messaging,High,Align with conservation values and public language,,,,,
Rebuild Homepage Wireframe,Subtask,Not started,"July 20, 2025","July 31, 2025",Website,High,Apply modular layout with storytelling CTA blocks,,,,,
Set Engagement KPIs,Subtask,Not started,"July 25, 2025",,Strategy,Medium,Define benchmarks for campaign impact,,,,,
"Modular Content Blocks
",Subtask,In progress,"July 23, 2025","August 9, 2025",Website,,Develop a reusable content system in WordPress. Establish visual and functional patterns (cards,,,,,
,,,,,,,,,,,,
Conduct brand audit,Subtask,Not started,"August 5, 2025","August 9, 2025",Strategy,Medium,"Evaluate current
  brand perceptions and document key attributes for refinement.",,,,,
Audit current homepage,Subtask,Not started,"August 5, 2025","August 14, 2025",Website,High,"Design, document, and organize content
  inventory + UX feedback.",,,,,
Align with development milestones,Subtask,Not started,"August 2, 2025","August 8, 2025",Strategy,Medium,"Deliver on core brand assets, UX
  milestones, and acquisition timeline.",,,,,
