State	Organization	URL	LH_Perf	LH_A11y	LH_BP	LH_SEO	axe_violations	AuditStatus	Facebook	Instagram	YouTube	LinkedIn
National	Access Fund	https://www.accessfund.org	32.0	86.0	96.0	100.0	5	OK	https://www.facebook.com/accessfund	https://instagram.com/accessfund/		
National	Ducks Unlimited	https://www.ducks.org	52.0	81.0	75.0	92.0	7	OK	https://www.facebook.com/DucksUnlimited	https://www.instagram.com/ducksunlimitedinc	https://www.youtube.com/user/DucksUnlimitedInc	https://www.linkedin.com/company/ducks-unlimited/jobs/
National	Wetlands America Trust (affiliate)	https://www.ducks.org/conservation/wetlands-america-trust	0.0	0.0	0.0	0.0	7	OK	https://www.facebook.com/DucksUnlimited	https://www.instagram.com/ducksunlimitedinc	https://www.youtube.com/user/DucksUnlimitedInc	https://www.linkedin.com/company/ducks-unlimited/jobs/
National	The Conservation Fund	https://www.conservationfund.org	53.0	87.0	96.0	85.0	2	OK				
National	Sustainable Conservation (affiliate)	https://suscon.org	55.0	86.0	82.0	85.0	5	OK	https://www.facebook.com/pages/Sustainable-Conservation/116106692365	https://instagram.com/sustainable_conservation/	https://www.youtube.com/user/suscon123	https://www.linkedin.com/company/sustainable-conservation?trk=cp_followed_name_sustainable-conservation
National	The Nature Conservancy	https://www.nature.org	51.0	100.0	100.0	77.0	3	OK				
National	The Trust for Public Land	https://www.tpl.org	53.0	89.0	100.0	77.0	2	OK	https://www.facebook.com/TheTrustforPublicLand/	https://www.instagram.com/trustforpublicland/	https://www.youtube.com/user/TrustforPublicLand	https://www.linkedin.com/company/the-trust-for-public-land/
National	The Wilderness Land Trust	https://wildernesslandtrust.org	55.0	73.0	79.0	85.0	9	OK	https://www.facebook.com/wildernesslandtrust	https://www.instagram.com/wildernesslandtrust/		
Alabama	Freshwater Land Trust	https://www.freshwaterlandtrust.org	46.0	95.0	100.0	92.0	2	OK				
Alabama	Land Trust of North Alabama	https://www.landtrustnal.org	63.0	93.0	96.0	100.0	3	OK				
Alabama	Weeks Bay Foundation	https://weeksbay.org	64.0	96.0	96.0	85.0	2	OK				
Alaska	Great Land Trust	https://greatlandtrust.org	61.0	87.0	100.0	100.0	5	OK	https://www.facebook.com/greatlandtrust	http://instagram.com/greatlandtrust		
Alaska	Interior Alaska Land Trust	https://interioraklandtrust.org	69.0	78.0	100.0	92.0	7	OK	https://www.facebook.com/InteriorAlaskaLandTrust/	https://www.instagram.com/interioraklandtrust/		
Alaska	Kachemak Heritage Land Trust	https://kachemaklandtrust.org	52.0	89.0	79.0	92.0	5	OK				
Alaska	Southeast Alaska Land Trust	https://sealt.org					ERR	ManualReview				
Arizona	Arizona Land and Water Trust	https://alwt.org	61.0	84.0	75.0	92.0	6	OK	https://www.facebook.com/ArizonaLandAndWaterTrust/	https://www.instagram.com/arizonalandandwatertrust		https://www.linkedin.com/company/arizona-land-and-water-trust/
Arizona	Central Arizona Land Trust	https://www.centralazlandtrust.org	65.0	74.0	96.0	85.0	7	OK				
Arizona	Desert Foothills Land Trust	https://dflandtrust.org					ERR	ManualReview				
Arkansas	Northwest Arkansas Land Trust	https://www.nwalandtrust.org	64.0	95.0	100.0	92.0	4	OK	https://www.facebook.com/NWALandTrust	https://www.instagram.com/northwestarkansaslandtrust/		https://www.linkedin.com/company/northwest-arkansas-land-trust/
California	Bear Yuba Land Trust	https://bylt.org	57.0	88.0	96.0	92.0	11	OK				
California	Big Sur Land Trust	https://bigsurlandtrust.org	44.0	87.0	100.0	85.0	8	OK	https://www.facebook.com/BigSurLandTrust/	https://www.instagram.com/bigsurlandtrust/		https://www.linkedin.com/company/big-sur-land-trust
California	California Farmland Trust	https://cafarmtrust.org	60.0	75.0	79.0	77.0	9	OK	https://www.facebook.com/cafarmtrust/	https://www.instagram.com/cafarmtrust	https://www.youtube.com/channel/UCKlEGdx_Z4RUPniOr02dMmg	https://www.linkedin.com/company/547414/
California	California Rangeland Trust	https://rangelandtrust.org	58.0	85.0	57.0	85.0	3	OK	https://www.facebook.com/RangelandTrust/	https://www.instagram.com/rangelandtrust/	https://www.youtube.com/user/RangelandTrust	https://www.linkedin.com/company/california-rangeland-trust/
California	Cayucos Land Conservancy	https://cayucoslandconservancy.org	68.0	93.0	100.0	92.0	5	OK				
Colorado	Aspen Valley Land Trust	https://www.avlt.org	55.0	90.0	79.0	92.0	5	OK	https://www.facebook.com/AspenValleyLandTrust/	https://www.instagram.com/aspenvalleylandtrust/		https://www.linkedin.com/company/aspen-valley-land-trust
