State	Organization	URL	LogoFile
North Carolina	Catawba Lands Conservancy	https://catawbalands.org	Catawba_Lands_Conservancy_logo.png
North Carolina	Conservation Trust for North Carolina	https://ctnc.org	Conservation_Trust_for_North_Carolina_logo.png
North Carolina	Conserving Carolina	https://conservingcarolina.org	
North Carolina	Davidson Lands Conservancy	https://www.davidsonlands.org	
North Carolina	Eno River Association	https://www.enoriver.org	
North Carolina	Foothills Conservancy of North Carolina	https://foothillsconservancy.org	
North Carolina	Highlands-Cashiers Land Trust	https://www.hicashlt.org	
North Carolina	Mainspring Conservation Trust	https://www.mainspringconserves.org	Mainspring_Conservation_Trust_logo.png
North Carolina	New River Conservancy	https://newriverconservancy.org	
North Carolina	North Carolina Coastal Land Trust	https://www.coastallandtrust.org	
North Carolina	Piedmont Land Conservancy	https://www.piedmontland.org	
North Carolina	RiverLink	https://riverlink.org	
North Carolina	Southern Appalachian Highlands Conservancy	https://appalachian.org	Southern_Appalachian_Highlands_Conservancy_logo.png
North Carolina	Tar River Land Conservancy	https://tarriverlandconservancy.org	
North Carolina	The Walthour-Moss Foundation	https://walthour-moss.org	The_Walthour-Moss_Foundation_logo.png
North Carolina	Three Rivers Land Trust	https://threeriverslandtrust.org	
North Carolina	Three Rivers Land Trust	https://threeriverslandtrust.org	
North Carolina	Triangle Land Conservancy	https://triangleland.org	
Ohio	Black Swamp Conservancy	https://www.blackswamp.org/	Black_Swamp_Conservancy_logo.png
Ohio	Cardinal Land Conservancy	https://cardinallandtrust.org/	
Ohio	Gates Mills Land Conservancy	https://www.gatesmillslandtrust.org/	
Ohio	Licking Land Trust	https://www.lickinglandtrust.org/	Licking_Land_Trust_logo.png
Ohio	Tecumseh Land Trust	https://tecumsehlandtrust.org/	
Ohio	Western Reserve Land Conservancy	https://www.wrlandconservancy.org/	Western_Reserve_Land_Conservancy_logo.png
Oregon	Deschutes Land Trust	https://www.deschuteslandtrust.org/	Deschutes_Land_Trust_logo.svg
Oregon	Friends of the Columbia Gorge Land Trust	https://gorgefriends.org/	Friends_of_the_Columbia_Gorge_Land_Trust_logo.png
Oregon	Greenbelt Land Trust	https://greenbeltlandtrust.org/	Greenbelt_Land_Trust_logo.png
Oregon	McKenzie River Trust	https://www.mckenzieriver.org/	
Oregon	North Coast Land Conservancy	https://nclctrust.org/	
Oregon	Southern Oregon Land Conservancy	https://landconserve.org/	
Oregon	The Wetlands Conservancy	https://wetlandsconservancy.org/	The_Wetlands_Conservancy_logo.png
Oregon	Wallowa Land Trust	https://wallowalandtrust.org/	Wallowa_Land_Trust_logo.png
Oregon	Western Rivers Conservancy	https://www.westernrivers.org/	Western_Rivers_Conservancy_logo.svg
