Task,Phase,Status,Due Date,Owner
Refine Interview Questions,Planning,In progress,"August 23, 2025","Don, Lucia"
Schedule First Round Interviews,Planning,Not started,"September 3, 2025","Don, Lucia"
Interview Carl Barnard,Outreach,Not started,"August 30, 2025",
Document Carl's Speech,Synthesis,In progress,"September 2, 2025","Don, Lucia"
Interview 3 More Sellers,Outreach,Not started,"October 1, 2025",
Code Interview Themes,Synthesis,Not started,"October 8, 2025",
Draft Land Seller Summary Report,Analysis,Not started,"October 22, 2025",
Design Messaging Tests,Design,Not started,"October 29, 2025",
Deploy Messaging Pilot,Testing,Not started,"November 5, 2025",
Report Back to Conservation Director,Wrap-Up,Not started,"November 13, 2025",
