Task,Due Date,Owner,Phase,Status
Refine Interview Questions,"August 23, 2025","Don, Lucia",Planning,In progress
Schedule First Round Interviews,"September 3, 2025","Don, Lucia",Planning,Not started
Interview Carl Barnard,"August 30, 2025",,Outreach,Not started
Document Carl's Speech,"September 2, 2025","Don, Lucia",Synthesis,In progress
Interview 3 More Sellers,"October 1, 2025",,Outreach,Not started
Draft Land Seller Summary Report,"October 22, 2025",,Analysis,Not started
Code Interview Themes,"October 8, 2025",,Synthesis,Not started
Design Messaging Tests,"October 29, 2025",,Design,Not started
Deploy Messaging Pilot,"November 5, 2025",,Testing,Not started
Report Back to Conservation Director,"November 13, 2025",,Wrap-Up,Not started
