Task Name,Category,Status,Priority Level,Due Date,Notes,Parent Task,Earliest Subtask Date,Latest Subtask Date,Task Role,Start Date,End Date
,,Not started,,,,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
DCLT Communications Strategy Plan›,Strategy,In progress,🟡 Medium,"July 30, 2025",,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
Member Survey Execution (2025),Strategy,In progress,🟡 Medium,"May 31, 2025",This will be analyzing the survey results in preparation for a report to the board and Task Team,Review 2015 Survey Questions for consistency (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Review%202015%20Survey%20Questions%20for%20consistency%201b22a8cd575580448e8dd8e8d6dc877e.csv),"Mar 12, 2025","Mar 14, 2025",🔹 Subtask,"July 1, 2025","July 31, 2025"
Survey 2015,,Not started,,,,Review 2015 Survey Questions for consistency (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Review%202015%20Survey%20Questions%20for%20consistency%201b22a8cd575580448e8dd8e8d6dc877e.csv),"Mar 12, 2025","Mar 14, 2025",🔹 Subtask,,
Survey 2015,,Not started,,,,Review 2015 Survey Questions for consistency (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Review%202015%20Survey%20Questions%20for%20consistency%201b22a8cd575580448e8dd8e8d6dc877e.csv),"Mar 12, 2025","Mar 14, 2025",🔹 Subtask,,
Capture all Commas Strategy Tasks in One Place,Strategy,In progress,,,"Transfer loose to-dos from FigJam, Slack, emails, and brain into the Notion tracker.",,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
Review 2015 Survey Questions,Strategy,Done,🟡 Medium,"May 14, 2025",,Member Survey Execution (2025) (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Member%20Survey%20Execution%20(2025)%201b22a8cd575580f3aa1ae7c6d9e1d0ba.csv),"May 31, 2025","May 31, 2025",🔹 Subtask,"July 1, 2025","July 31, 2025"
Reword close-ended questions,,Done,🟡 Medium,"March 4, 2025",,Member Survey Execution (2025) (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Member%20Survey%20Execution%20(2025)%201b22a8cd575580f3aa1ae7c6d9e1d0ba.csv),"May 31, 2025","May 31, 2025",🔹 Subtask,,
Review 2015 Survey Questions for consistency,,Done,🟡 Medium,"March 12, 2025 → March 14, 2025",,"Member Survey Execution (2025) (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Member%20Survey%20Execution%20(2025)%201b22a8cd575580f3aa1ae7c6d9e1d0ba.csv), Survey 2015 (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Survey%202015%201f42a8cd5755806c943ee8a21f67d4df.csv), Survey 2015 (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Survey%202015%201f42a8cd575580aeaf20e3e6a7ad5506.csv)","May 31, 2025","May 31, 2025",🔹 Subtask,"July 1, 2025","July 31, 2025"
"Outline Monthly Content Cadence (Landings, Social, eNews)",Content,Not started,,"May 20, 2025",Map major recurring content touchpoints. Align with campaign calendar and member engagement flow.,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
Website Tasks,,Not started,,,,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
Draft content brief for “Explore Our Lands” page,Website,Not started,🟡 Medium,"May 6, 2025",,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
Content Calendar,,Not started,,,,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
Preserve Signage & Kiosk Panels Project,"Design, Interpretive",In progress,🔴 High,"May 30, 2025",,,,,🟢 Parent Task,"July 1, 2025","July 31, 2025"
