Task Name,Category,Due Date,Earliest Subtask Date,End Date,Latest Subtask Date,Notes,Parent Task,Priority Level,Start Date,Status,Task Role
Content Calendar,,,,"July 31, 2025",,,,,"July 1, 2025",Not started,🟢 Parent Task
DCLT Communications Strategy Plan›,Strategy,"July 30, 2025",,"July 31, 2025",,,,🟡 Medium,"July 1, 2025",In progress,🟢 Parent Task
Review 2015 Survey Questions,Strategy,"May 14, 2025","May 31, 2025","July 31, 2025","May 31, 2025",,Member Survey Execution (2025) (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Member%20Survey%20Execution%20(2025)%201b22a8cd575580f3aa1ae7c6d9e1d0ba.csv),🟡 Medium,"July 1, 2025",Done,🔹 Subtask
Member Survey Execution (2025),Strategy,"May 31, 2025","Mar 12, 2025","July 31, 2025","Mar 14, 2025",This will be analyzing the survey results in preparation for a report to the board and Task Team,Review 2015 Survey Questions for consistency (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Review%202015%20Survey%20Questions%20for%20consistency%201b22a8cd575580448e8dd8e8d6dc877e.csv),🟡 Medium,"July 1, 2025",In progress,🔹 Subtask
Reword close-ended questions,,"March 4, 2025","May 31, 2025",,"May 31, 2025",,Member Survey Execution (2025) (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Member%20Survey%20Execution%20(2025)%201b22a8cd575580f3aa1ae7c6d9e1d0ba.csv),🟡 Medium,,Done,🔹 Subtask
Review 2015 Survey Questions for consistency,,"March 12, 2025 → March 14, 2025","May 31, 2025","July 31, 2025","May 31, 2025",,"Member Survey Execution (2025) (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Member%20Survey%20Execution%20(2025)%201b22a8cd575580f3aa1ae7c6d9e1d0ba.csv), Survey 2015 (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Survey%202015%201f42a8cd5755806c943ee8a21f67d4df.csv), Survey 2015 (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Survey%202015%201f42a8cd575580aeaf20e3e6a7ad5506.csv)",🟡 Medium,"July 1, 2025",Done,🔹 Subtask
Draft content brief for “Explore Our Lands” page,Website,"May 6, 2025",,"July 31, 2025",,,,🟡 Medium,"July 1, 2025",Not started,🟢 Parent Task
Website Tasks,,,,"July 31, 2025",,,,,"July 1, 2025",Not started,🟢 Parent Task
"Outline Monthly Content Cadence (Landings, Social, eNews)",Content,"May 20, 2025",,"July 31, 2025",,Map major recurring content touchpoints. Align with campaign calendar and member engagement flow.,,,"July 1, 2025",Not started,🟢 Parent Task
Survey 2015,,,"Mar 12, 2025",,"Mar 14, 2025",,Review 2015 Survey Questions for consistency (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Review%202015%20Survey%20Questions%20for%20consistency%201b22a8cd575580448e8dd8e8d6dc877e.csv),,,Not started,🔹 Subtask
Capture all Commas Strategy Tasks in One Place,Strategy,,,"July 31, 2025",,"Transfer loose to-dos from FigJam, Slack, emails, and brain into the Notion tracker.",,,"July 1, 2025",In progress,🟢 Parent Task
Survey 2015,,,"Mar 12, 2025",,"Mar 14, 2025",,Review 2015 Survey Questions for consistency (Task%20Tracker%201b22a8cd57558014b583dcde7f6291ba/Review%202015%20Survey%20Questions%20for%20consistency%201b22a8cd575580448e8dd8e8d6dc877e.csv),,,Not started,🔹 Subtask
Preserve Signage & Kiosk Panels Project,"Design, Interpretive","May 30, 2025",,"July 31, 2025",,,,🔴 High,"July 1, 2025",In progress,🟢 Parent Task
,,,,"July 31, 2025",,,,,"July 1, 2025",Not started,🟢 Parent Task
