Block Name,Field Name,Field Type,Required?,Notes,Reusable Across Blocks?
Hero,Background Image,Image,Yes,Full-width background image,No
Hero,Headline,Text,Yes,"6–10 words, emotionally compelling",Yes
Hero,CTA Label,Text,Yes,Primary button text,Yes
Featured Story,Story Reference,Relation,Yes,Links to Story content type,No
CTA Panel,CTA Type,Select,Yes,Join / Donate / Volunteer,No
Event Block,RSVP URL,URL,No,Optional link to registration form,Yes
Testimonial,Quote,Text,Yes,1–2 sentences,No
Impact Panel,Number,Text,Yes,"Can be number or string (e.g., '10K+')",No
FAQ,Question,Text,Yes,User-facing question,No
FAQ,Answer,Rich Text,Yes,Expandable content block,No
FAQ,Grouping,Select,No,"Optional category (e.g., Visitor Info)",Yes
Map Embed,Embed Code,Text,Yes,iframe or shortcode,No
Map Embed,Filters,Multi-select,No,"e.g., Hiking, Wetlands, Birding",Yes
Map Embed,Description,Text,No,Optional context or instructions,No
Related Content,Related Items,Relation,Yes,"Stories, Projects, Preserves",No
Related Content,Display Style,Select,Yes,Grid / Carousel / List,Yes
Related Content,Section Title,Text,No,Optional title override,Yes
Preserve Grid,Accessibility Tags,Multi-select,No,"Kid-Friendly, Pets OK, Wheelchair",Yes
Statistic Panel,Metric,Text,Yes,"e.g., “10,000 acres protected”",No
Statistic Panel,Description,Text,No,"Short summary, optional",No
Statistic Panel,Icon,Image,No,Optional visual accent,Yes
Statistic Panel,Context Label,Text,No,“Since 1986” or “Annual Goal”,Yes
Footer Signup,Heading,Text,Yes,Newsletter prompt,No
Footer Signup,CTA Label,Text,Yes,“Sign Up” or “Stay Connected”,Yes
Footer Signup,Form Embed,Text,Yes,Mailchimp or other embed code,No
Page Header,Page Title,Text,Yes,Page-specific title,No
Page Header,Subhead,Text,No,Optional short intro,No
Page Header,Background Image,Image,No,Visual header,No
