Screenshot Filename	Page Title (Working)	Section Guess	Keep?	Rewrite?	Merge?	Remove?	Priority	Notes	Suggested Blocks
00-index-homepage.png	00 Index Homepage	index							
01-about-us-1-history.png	01 About Us 1 History	about							
01-about-us-2-board-of-directors.png	01 About Us 2 Board Of Directors	about							
01-about-us-3-staff.png	01 About Us 3 Staff	about							
01-about-us-4-news.png	01 About Us 4 News	about							
01-about-us-5-publications.png	01 About Us 5 Publications	about							
01-about-us-6-photos.png	01 About Us 6 Photos	about							
01-about-us-7-careers.png	01 About Us 7 Careers	about							
01-about-us-9-contact.png	01 About Us 9 Contact	about							
02-how-we-save-land-01.png	02 How We Save Land 01	how							
02-how-we-save-land-02-door-county-a-place-like-no-other-01.png	02 How We Save Land 02 Door County A Place Like No Other 01	how							
02-how-we-save-land-02-door-county-a-place-like-no-other-02-pitcher-thistle.png	02 How We Save Land 02 Door County A Place Like No Other 02 Pitcher Thistle	how							
02-how-we-save-land-03-caring-for-the-land.png	02 How We Save Land 03 Caring For The Land	how							
02-how-we-save-land-04-protect-your-land-01.png	02 How We Save Land 04 Protect Your Land 01	how							
02-how-we-save-land-05-hunting-program-02-hunting-form.png	02 How We Save Land 05 Hunting Program 02 Hunting Form	how							
02-how-we-save-land-05-hunting-program.png	02 How We Save Land 05 Hunting Program	how							
03-preserves-to-explore-01-list-view.png	03 Preserves To Explore 01 List View	preserves							
03-preserves-to-explore-01-map-view.png	03 Preserves To Explore 01 Map View	preserves							
03-preserves-to-explore-03-Bay-Shore-Blufflands-Nature-Preserve.png	03 Preserves To Explore 03 Bay Shore Blufflands Nature Preserve	preserves							
03-preserves-to-explore-03-detroit-harbor-nature-preserve.png	03 Preserves To Explore 03 Detroit Harbor Nature Preserve	preserves							
03-preserves-to-explore-03-domer-neff-nature-preserve-and-bird-sanctuary.png	03 Preserves To Explore 03 Domer Neff Nature Preserve And Bird Sanctuary	preserves							
03-preserves-to-explore-03-ephraim-preserve-at-anderson-pond.png	03 Preserves To Explore 03 Ephraim Preserve At Anderson Pond	preserves							
03-preserves-to-explore-03-harold-c-wilson-three-springs-nature-preserve.png	03 Preserves To Explore 03 Harold C Wilson Three Springs Nature Preserve	preserves							
03-preserves-to-explore-03-heins-creek-nature-preserve.png	03 Preserves To Explore 03 Heins Creek Nature Preserve	preserves							
03-preserves-to-explore-03-kangaroo-lake-nature-preserve.png	03 Preserves To Explore 03 Kangaroo Lake Nature Preserve	preserves							
03-preserves-to-explore-03-lautenbach-woods-nature-preserve.png	03 Preserves To Explore 03 Lautenbach Woods Nature Preserve	preserves							
03-preserves-to-explore-03-legacy-preserve-at-clay-banks.png	03 Preserves To Explore 03 Legacy Preserve At Clay Banks	preserves							
03-preserves-to-explore-03-little-lake-nature-preserve.png	03 Preserves To Explore 03 Little Lake Nature Preserve	preserves							
03-preserves-to-explore-03-oak-road-nature-preserve.png	03 Preserves To Explore 03 Oak Road Nature Preserve	preserves							
03-preserves-to-explore-03-richter-community-forest-nature-preserve.png	03 Preserves To Explore 03 Richter Community Forest Nature Preserve	preserves							
03-preserves-to-explore-03-sturgeon-bay-ship-canal-nature-preserve.png	03 Preserves To Explore 03 Sturgeon Bay Ship Canal Nature Preserve	preserves							
03-preserves-to-explore-03-white-cliff-nature-preserve.png	03 Preserves To Explore 03 White Cliff Nature Preserve	preserves							
03-preserves-to-explore-04-other-protected-places.png	03 Preserves To Explore 04 Other Protected Places	preserves							
03-preserves-to-explore-05-mail-me-a-map.png	03 Preserves To Explore 05 Mail Me A Map	preserves							
04-upcoming-events.png	04 Upcoming Events	upcoming							
05-give-generously-01.png	05 Give Generously 01	give							
05-give-generously-02-become-a-member.png	05 Give Generously 02 Become A Member	give							
