 ,Publication Name, ,Publication Type, ,2025 Price, ,2024 Price, ,2023 Price, ,Early Discount Date, ,Contract Due, ,Artwork/Ad Size, ,Artwork Due, , ,Notes,Email ad to,Status, , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , 
 ,Washington Island Observer, ,Newspaper, ,$806.40 , , , , , , , , , ,"4.75"" x 3""", , , , , ,ads@washingtonislandobserver.com,"Sent ad in email, sent contract to Kristi", , , , , , , , , , , 
 ,Peninsula Pulse, ,Newspaper, ,"$5,942.04 ", ,"$6,000.00 ", ,"$5,669.30 ", , , , , ," 3.125"" x 5""", ,Monday EOD, , , ,steve@ppulse.com,Sent new ad, , , , , , , , , , , 
 ,Door County Living, ,Magazine, ,"$5,277.65 ", ,"$5,300.00 ", ,"$4,625.70 ", , , , , ,"4.625"" x 10""", ,March 14 for Philanthropy issue,, , , , , , , , , , , , , , , 
 ,Door Guide Publishing, ,Magazine, ,--, , , , , , , , , , , ,,, ,Unsure if we are going with this, , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Every Day is Earth Day, , , , , , , ,$100.00 , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Northern Sky Theater, ,Playbill, ,$650.00 , ,$510.00 , ,$0.00 , ,11/24/24, ,11/25/24, ,"4.75"" x 3.75""", , , , , ,sophie@northernshytheater.com,"Sent ad in email, sent contract to Kristi", , , , , , , , , , , 
 ,Peninsula Players Theater, ,Playbill, ,$690.00 , , , ,$650.00 , , , , , ,"5.25"" x 4.125""", ,31-Mar, , , ,audra@peninsulaplayers.com,"Sent ad in email, sent contract to Kristi", , , , , , , , , , , 
 ,Birch Creek Music Performance Center, ,Playbill, ,$550.00 , , , , , , , ,11-Apr, ,"5.25"" x 4.125""", ,18-Apr, , , ,marketing@birchcreek.org,"Sent ad in email, sent contract to Kristi", , , , , , , , , , , 
 ,Door County Auditorium, ,Playbill, ,600, , , ,$600.00 , , , ,5/23/25, ,"5.125"" x 3.75""", ,11-Apr, , , , ,Sent an email to inquire about placement, , , , , , , , , , , 
 ,Third Avenue Playhouse, ,Playbill, ,750, , , , , , , ,1/31/25, ,"4.75"" x 3.5""", ,23-May, , , ,april@thirdavenueplayworks.org,"Sent ad in email, sent contract to Kristi", , , , , , , , , , , 
,Trueblood PAC,,Playbill,,270,,,,,,,,3/28/25,,"4.5"" x 3 5/8""",,,,,,tpacwashingtonisland@gmail.com,,,,,,,,,,,,
, , , , , , , , , , , , , , , , ,1/31/25, , , , , , , , , , , , , , , , 
,Washington Island Music Festival,,Catalog,,500,,,,,,,,,,,,,,,,,Payment will be sent by Kristi,,,,,,,,,,,
,Destination Door County, ,Travel Guide, , , , , ,$0.00 , , , , , , , , , , , , ,Contacted , , , , , , , , , , , 
 ,Destination Sturgeon Bay, ,Travel Guide, , , ,$150.00 , ,$175.00 , , , , , , , , , , ,Tabling Options, , , , , , , , , , , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edible Door,,Magazine,,300,,,,,,,,,,,,,,,,publisher@ediblenew.com.,,,,,,,,,,,,
 , , , , , , , , , , , , ,1-Apr, , , , , , , , , , , , , , , , , , , , 
 ,Northern Door Sports and Recreation, ,Travel Guide, ,775, , , , , , , ,10-Jan, ,"7.5"" x 2.25""", , , , , , ,Ran out of budget for this one, , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,1/10 - 7/10, , , , , , , , , , , , , , , , 
 ,The Paper Boy LLC, ,Rack Card, ,$870.00 , ,$815.00 , ,$815.00 , , , ,Nov. 1, ,"4"" x 9""", , , , , , ,currently working on artwork for this one, , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,WPR, ,Radio, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,WBDK,,, ,1000, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,"$16,911.09 ", ,"$12,775.00 ", ,"$18,304.30 ", , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
