State	Organization	URL	Performance	Accessibility	Best_Practices	SEO
Ohio	Black Swamp Conservancy	https://www.blackswamp.org/				
Ohio	Cardinal Land Conservancy	https://cardinallandtrust.org/				
Ohio	Gates Mills Land Conservancy	https://www.gatesmillslandtrust.org/				
Ohio	Licking Land Trust	https://www.lickinglandtrust.org/				
Ohio	Tecumseh Land Trust	https://tecumsehlandtrust.org/				
Ohio	Western Reserve Land Conservancy	https://www.wrlandconservancy.org/				
Oregon	Deschutes Land Trust	https://www.deschuteslandtrust.org/				
Oregon	Friends of the Columbia Gorge Land Trust	https://gorgefriends.org/				
Oregon	Greenbelt Land Trust	https://greenbeltlandtrust.org/				
Oregon	McKenzie River Trust	https://www.mckenzieriver.org/				
Oregon	North Coast Land Conservancy	https://nclctrust.org/				
Oregon	Southern Oregon Land Conservancy	https://landconserve.org/				
Oregon	The Wetlands Conservancy	https://wetlandsconservancy.org/				
Oregon	Wallowa Land Trust	https://wallowalandtrust.org/				
Oregon	Western Rivers Conservancy	https://www.westernrivers.org/				
Oregon	Wild Rivers Land Trust	https://www.wildriverslandtrust.org/				
Pennsylvania	Allegheny Land Trust	https://alleghenylandtrust.org/				
Pennsylvania	Brandywine Conservancy & Museum of Art	https://www.brandywine.org/conservancy				
Pennsylvania	Central Pennsylvania Conservancy	https://www.centralpaconservancy.org/				
Pennsylvania	Chestnut Hill Conservancy	https://chconservancy.org/				
Pennsylvania	ClearWater Conservancy	https://www.clearwaterconservancy.org/				
Pennsylvania	Countryside Conservancy	https://countrysideconservancy.org/				
Pennsylvania	Delaware Highlands Conservancy	https://delawarehighlands.org/				
Pennsylvania	French and Pickering Creeks Conservation Trust	https://frenchandpickering.org/				
Pennsylvania	French Creek Valley Conservancy	https://fcvc.org/				
Pennsylvania	Heritage Conservancy	https://heritageconservancy.org/				
Pennsylvania	Hollow Oak Land Trust	https://hollowoak.org/				
Pennsylvania	Lancaster Conservancy	https://www.lancasterconservancy.org/				
Pennsylvania	Lancaster Farmland Trust	https://lancasterfarmlandtrust.org/				
Pennsylvania	Land Conservancy of Adams County	https://www.lcacnet.org/				
Pennsylvania	Land Trust of Bucks County	https://landtrustbuckscounty.org/				
Pennsylvania	Natural Lands	https://natlands.org/				
Pennsylvania	North Branch Land Trust	https://northbranchlandtrust.org/				
Pennsylvania	The Land Conservancy for Southern Chester County	https://tlcforscc.org/				
Pennsylvania	Tinicum Conservancy	https://tinicumconservancy.org/				
Pennsylvania	Western Pennsylvania Conservancy	https://waterlandlife.org/				
Pennsylvania	Westmoreland Conservancy	https://westmoreland-landtrust.org/				
Pennsylvania	Wildlands Conservancy	https://www.wildlandspa.org/				
Pennsylvania	Willistown Conservation Trust	https://wctrust.org/				
Rhode Island	Aquidneck Land Trust	https://ailt.org/				
Rhode Island	Block Island Conservancy	https://biconservancy.org/				
Rhode Island	Block Island Land Trust	https://blockislandlandtrust.org/				
Rhode Island	Conanicut Island Land Trust	https://conanicutlandtrust.org/				
Rhode Island	Middletown Valley Land Trust	https://middletownvalleylandtrust.org/				
Rhode Island	Nature Conservancy of Rhode Island	https://www.nature.org/en-us/about-us/where-we-work/united-states/rhode-island/				
Rhode Island	Sakonnet Preservation Association	https://sakonnetpreservation.org/				
Rhode Island	South Kingstown Land Trust	https://sklt.org/				
