State	Organization	URL	Status	Title	Meta_Description	H1	Word_Count	Nav_Links	Donate_Link	Newsletter_Link
Ohio	Black Swamp Conservancy	https://www.blackswamp.org/	OK	Home | Black Swamp Conservancy			6634.0	Other Ways to Give, Conservation Easement Monitoring, Current News, Upcoming Events, Food & Farm, Volunteer, Donate Now, Staff, Planned Giving, Newsletters, Learning Landscapes, Habitat Restoration, Honorary Gifts & Memorial Benches, Education, Native Plants, Home, Support, Protecting Land, Merchandise, Mission Statement, About Us, Work at Black Swamp Conservancy, So Wild a Place, Board of Trustees, Conservation Options, Get Involved, Event Calendar, Land We Protect, Paddle and Groove, News, Scholarship	True	True
Ohio	Cardinal Land Conservancy	https://cardinallandtrust.org/	"Error: HTTPSConnectionPool(host='cardinallandtrust.org', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x109c40e10>: Failed to resolve 'cardinallandtrust.org' ([Errno 8] nodename nor servname provided, or not known)""))"							
Ohio	Gates Mills Land Conservancy	https://www.gatesmillslandtrust.org/	"Error: HTTPSConnectionPool(host='www.gatesmillslandtrust.org', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x109c41e50>: Failed to resolve 'www.gatesmillslandtrust.org' ([Errno 8] nodename nor servname provided, or not known)""))"							
Ohio	Licking Land Trust	https://www.lickinglandtrust.org/	OK	Licking Land Trust		Preserving OurRural Landscapes | Nationally Accredited	239.0	LLT Portraits, CAUV Information, Contact, Board, Mission, Volunteer, Membership, Action, Legacy Club, Cart 0, Events, borderimage, Who We Are, Publications, Conservation Map, Welcome, Home, Support, Job Postings, Stories of Protected Land, Conservation Easements, About Us, Featured Properties, Conservation, Accreditation	True	False
Ohio	Tecumseh Land Trust	https://tecumsehlandtrust.org/	"Error: HTTPSConnectionPool(host='tecumsehlandtrust.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tecumsehlandtrust.org'. (_ssl.c:1028)"")))"							
Ohio	Western Reserve Land Conservancy	https://www.wrlandconservancy.org/	OK	Western Reserve Land Conservancy | Northeast OH Conservation	At Western Reserve Land Conservancy, we are committed to the preservation and restoration of the natural environment in northeast Ohio.	Preserving Ohio's Lands for Future Generations.	719.0	Carbon Credits for Individuals, Forest City Tribute Trees, Contact, Our Staff, What We Do, Our Trustees, Support Our Work, Carbon Credits, Careers & Internships, Ashcroft Woods, Conserve, Reforest Our City, Education & Outreach, Events, Thurgood Marshall Green, Donate, Who We Are, Publications, Thriving Communities, Connect With Us, Neighborhood Stabilization, Sustain, Our History, Job Opportunities, Our Mission, White Oak Legacy Society, Protect Your Property, Sugar Island Preserve, Kister Mill, Privacy Policy, Connect, Our Offices, Sporting Circle, Get Involved, Parks & Preserves, Contact Us, News, Special Projects, Brighton Park, Properties For Sale, Corporate Partnerships, Oberlin Preserve	True	False
Oregon	Deschutes Land Trust	https://www.deschuteslandtrust.org/	OK	Homepage — Deschutes Land Trust		Caring for the lands and waters that sustain Central Oregonians	463.0	Camp Polk Meadow Preserve, Walk + Hike Ratings, Rimrock Ranch, Meet our Supporters, Coffer Ranch, Join, Internships, Current News, Native American Stewards of the Land, Willow Springs Preserve, Spring Creek, Aspen Hollow Preserve, Our Work, Equity and Inclusion, Metolius Preserve, Volunteer Opportunities, Paulina Creek Preserve, Volunteer, Five Rivers Society, Staff, Financial, Trusting the Land Blog, Aspen Valley Ranch, Planned Giving, Newsletters, Support While You Shop, Plant Your Own Milkweed, Conserve your land, Protected Lands, Thomas Preserve, Strategic Plan, Stock Transfers, Donate, Emerging Conservationists, Hikes + Events, Visit our Preserves, Land Trust Merch, Current Projects, Climate Change, All Walks + Hikes, Home, Support, Our Partners, Privacy Policy, Whychus Canyon Preserve, Neighbor News, E-Newsletter, Careers, About Us, Hopkins-Young Special Management Area, Monthly Giving, Alder Springs, Annual Reports, Visit, Ochoco Preserve, Volunteer Awards, Other Conserved Lands, Trout Creek Conservation Area, Contact Us, Volunteer With Us, Indian Ford Meadow Preserve, News, Search, Metolius River Preserve, Walk + Hike Leaders, The Cottonwood Circle, Board of Directors, Nature Nights, Current Events, Priday Ranch	False	True
Oregon	Friends of the Columbia Gorge Land Trust	https://gorgefriends.org/	OK	Friends of the Columbia Gorge - Ensuring the Gorge remains a vibrant, living place—wondrous, wild, and open to all.	Ensuring the Gorge remains a vibrant, living place—wondrous, wild, and open to all.	Join Us in Protecting the Columbia Gorge | Join our online community to get the latest conservation updates, action alerts, and invitations to guided outdoor outings and special events delivered to your inbox. Opt out any time.	875.0	Español, Enforcing Protection Laws, Contact, What We Do, Outdoor Programs, Friends of the Columbia Gorge Land Trust, Shop, Youth & Community Education, Our Team, Ways to Give, Magazines & Annual Reports, Volunteer, Our Preserves, Protect & Conserve, Share the Wonder, Gorge Towns to Trails, Events, Who We Are, Our Accomplishments, Explore, Donate, Give Now, Newsroom, Advocacy Campaigns, Our Mission, Privacy Policy, Careers, Subscribe, Cookie Policy, Friends of the Columbia Gorge, Gorge Accessibility Project, Outdoor Engagement, Take Action, Get Involved, Accessibility, Find a Hike, Financials, Volunteer Stewardship, About the Gorge, Become a Member, Strategic Plan 2025-2027	True	True
Oregon	Greenbelt Land Trust	https://greenbeltlandtrust.org/	OK	Greenbelt Land Trust | For a more resilient future			689.0	Contact, Community Voices, Newsletter & Annual Report, Landowner Contact Form, Meet the Staff, Greenbelt History, Volunteer, Estate Planning, Properties Protected, Meet the Board, Stock Donations, Events, Mighty Acorns Kids Club, Donate, Conservation FAQ, Board of Directors Recruitment, Support Us, Jobs, About Us, Stewarding Land, Get Involved, eNews Sign-Up, Become a Member, Conserving Land, Current Trail Closure Information, Bald Hill Farm Pavilion	True	True
Oregon	McKenzie River Trust	https://www.mckenzieriver.org/	OK	Home - McKenzie River Trust | Protecting Lands in Western Oregon		Protecting Oregon’s Natural Lands​	986.0	Contact, How to Protect Your Land, Annual Report, Business Supporters, Staff and Board, Terms, Ways to Give, Volunteer, Privacy, Protected Lands, Planned and Estate Giving, Events, Donate, Restoration, Home, Our History, Jobs, Charitable Disclosures, About Us, Get Involved, Blog	True	False
