State	Organization	URL	ExpectedLogo	HasLogo
National	Access Fund	https://www.accessfund.org	Access_Fund_logo.png	Yes
National	Ducks Unlimited	https://www.ducks.org	Ducks_Unlimited_logo.png	Yes
National	Wetlands America Trust (affiliate)	https://www.ducks.org/conservation/wetlands-america-trust	Wetlands_America_Trust_(affiliate)_logo.png	No
National	The Conservation Fund	https://www.conservationfund.org	The_Conservation_Fund_logo.png	Yes
National	Sustainable Conservation (affiliate)	https://suscon.org	Sustainable_Conservation_(affiliate)_logo.png	No
National	The Nature Conservancy	https://www.nature.org	The_Nature_Conservancy_logo.png	Yes
National	The Trust for Public Land	https://www.tpl.org	The_Trust_for_Public_Land_logo.png	No
National	The Wilderness Land Trust	https://wildernesslandtrust.org	The_Wilderness_Land_Trust_logo.png	Yes
Alabama	Freshwater Land Trust	https://www.freshwaterlandtrust.org	Freshwater_Land_Trust_logo.png	Yes
Alabama	Land Trust of North Alabama	https://www.landtrustnal.org	Land_Trust_of_North_Alabama_logo.png	No
Alabama	Weeks Bay Foundation	https://weeksbay.org	Weeks_Bay_Foundation_logo.png	Yes
Alaska	Great Land Trust	https://greatlandtrust.org	Great_Land_Trust_logo.png	No
Alaska	Interior Alaska Land Trust	https://interioraklandtrust.org	Interior_Alaska_Land_Trust_logo.png	Yes
Alaska	Kachemak Heritage Land Trust	https://kachemaklandtrust.org	Kachemak_Heritage_Land_Trust_logo.png	Yes
Alaska	Southeast Alaska Land Trust	https://sealt.org	Southeast_Alaska_Land_Trust_logo.png	No
Arizona	Arizona Land and Water Trust	https://alwt.org	Arizona_Land_and_Water_Trust_logo.png	Yes
Arizona	Central Arizona Land Trust	https://www.centralazlandtrust.org	Central_Arizona_Land_Trust_logo.png	Yes
Arizona	Desert Foothills Land Trust	https://dflandtrust.org	Desert_Foothills_Land_Trust_logo.png	No
Arkansas	Northwest Arkansas Land Trust	https://www.nwalandtrust.org	Northwest_Arkansas_Land_Trust_logo.png	Yes
California	Bear Yuba Land Trust	https://bylt.org	Bear_Yuba_Land_Trust_logo.png	Yes
California	Big Sur Land Trust	https://bigsurlandtrust.org	Big_Sur_Land_Trust_logo.png	Yes
California	California Farmland Trust	https://cafarmtrust.org	California_Farmland_Trust_logo.png	Yes
California	California Rangeland Trust	https://rangelandtrust.org	California_Rangeland_Trust_logo.png	Yes
California	Cayucos Land Conservancy	https://cayucoslandconservancy.org	Cayucos_Land_Conservancy_logo.png	No
Colorado	Aspen Valley Land Trust	https://www.avlt.org	Aspen_Valley_Land_Trust_logo.png	Yes
Colorado	Black Canyon Regional Land Trust	https://bcrlt.org	Black_Canyon_Regional_Land_Trust_logo.png	No
Colorado	Central Colorado Conservancy	https://centralcoloradoconservancy.org	Central_Colorado_Conservancy_logo.png	Yes
Colorado	Colorado Cattlemen’s Agricultural Land Trust	https://ccalt.org	Colorado_Cattlemen’s_Agricultural_Land_Trust_logo.png	No
Colorado	Colorado Headwaters Land Trust	https://headwaterslandtrust.org	Colorado_Headwaters_Land_Trust_logo.png	No
Connecticut	Avalonia Land Conservancy	https://avalonialandconservancy.org	Avalonia_Land_Conservancy_logo.png	Yes
Connecticut	Branford Land Trust	https://branfordlandtrust.org	Branford_Land_Trust_logo.png	No
Connecticut	Candlewood Valley Regional Land Trust	https://candlewoodvalleylandtrust.org	Candlewood_Valley_Regional_Land_Trust_logo.png	No
Connecticut	Colchester Land Trust	https://colchesterlandtrust.org	Colchester_Land_Trust_logo.png	Yes
Connecticut	Connecticut Farmland Trust	https://ctfarmland.org	Connecticut_Farmland_Trust_logo.png	Yes
Florida	Alachua Conservation Trust	https://www.alachuaconservationtrust.org	Alachua_Conservation_Trust_logo.png	Yes
Florida	Conservation Florida	https://conservationfla.org	Conservation_Florida_logo.png	Yes
Florida	Conservation Foundation of the Gulf Coast	https://www.conservationfoundation.com	Conservation_Foundation_of_the_Gulf_Coast_logo.png	No
Florida	North Florida Land Trust	https://www.nflt.org	North_Florida_Land_Trust_logo.png	Yes
Florida	Tall Timbers Research Station & Land Conservancy	https://talltimbers.org	Tall_Timbers_Research_Station_and_Land_Conservancy_logo.png	No
Florida	Tampa Bay Conservancy	https://tampabayconservancy.org	Tampa_Bay_Conservancy_logo.png	Yes
Georgia	Athens Land Trust	https://athenslandtrust.org	Athens_Land_Trust_logo.png	No
Georgia	Central Savannah River Land Trust	https://csrlt.org	Central_Savannah_River_Land_Trust_logo.png	Yes
Georgia	Chattooga Conservancy	https://chattoogaconservancy.org	Chattooga_Conservancy_logo.png	No
Georgia	Georgia-Alabama Land Trust	https://galandtrust.org	Georgia_Alabama_Land_Trust_logo.png	Yes
Georgia	Georgia Piedmont Land Trust	https://gplandtrust.org	Georgia_Piedmont_Land_Trust_logo.png	No
Georgia	Mountain Conservation Trust of Georgia	https://mctga.org	Mountain_Conservation_Trust_of_Georgia_logo.png	Yes
Georgia	Ocmulgee Land Trust	https://ocmulgeelandtrust.com	Ocmulgee_Land_Trust_logo.png	Yes
Georgia	St. Simons Land Trust	https://sslt.org	St._Simons_Land_Trust_logo.png	No
Hawaii	Hawaiian Islands Land Trust	https://hilt.org	Hawaiian_Islands_Land_Trust_logo.png	Yes
Idaho	Kaniksu Land Trust	https://kaniksu.org	Kaniksu_Land_Trust_logo.png	Yes
Idaho	Land Trust of the Treasure Valley	https://www.lttv.org	Land_Trust_of_the_Treasure_Valley_logo.png	Yes
Idaho	Lemhi Regional Land Trust	https://lemhilandtrust.org	Lemhi_Regional_Land_Trust_logo.png	Yes
Idaho	Palouse Land Trust	https://palouselandtrust.org	Palouse_Land_Trust_logo.png	Yes
Idaho	Sagebrush Steppe Land Trust	https://www.sagebrushlandtrust.org	Sagebrush_Steppe_Land_Trust_logo.png	Yes
Idaho	Teton Regional Land Trust	https://tetonlandtrust.org	Teton_Regional_Land_Trust_logo.png	Yes
Idaho	Wood River Land Trust	https://www.woodriverlandtrust.org	Wood_River_Land_Trust_logo.png	No
Illinois	Jo Daviess Conservation Foundation	https://www.jdcf.org	Jo_Daviess_Conservation_Foundation_logo.png	Yes
Illinois	Lake Forest Open Lands Association	https://www.lfola.org	Lake_Forest_Open_Lands_Association_logo.png	Yes
Illinois	Natural Land Institute	https://www.naturalland.org	Natural_Land_Institute_logo.png	Yes
Illinois	Openlands	https://www.openlands.org	Openlands_logo.png	Yes
Illinois	Prairie Land Conservancy	https://www.prairielandconservancy.org	Prairie_Land_Conservancy_logo.png	No
Illinois	The Conservation Foundation	https://www.theconservationfoundation.org	The_Conservation_Foundation_logo.png	No
Illinois	The Land Conservancy of McHenry County	https://conservemc.org	The_Land_Conservancy_of_McHenry_County_logo.png	No
Indiana	Central Indiana Land Trust	https://www.conservingindiana.org	Central_Indiana_Land_Trust_logo.png	No
Indiana	NICHES Land Trust	https://www.nicheslandtrust.org	NICHES_Land_Trust_logo.png	No
Indiana	Shirley Heinze Land Trust	https://www.heinzetrust.org	Shirley_Heinze_Land_Trust_logo.png	Yes
Indiana	Sycamore Land Trust	https://sycamorelandtrust.org	Sycamore_Land_Trust_logo.png	Yes
Iowa	Bur Oak Land Trust	https://buroaklandtrust.org	Bur_Oak_Land_Trust_logo.png	Yes
Iowa	Iowa Natural Heritage Foundation	https://www.inhf.org	Iowa_Natural_Heritage_Foundation_logo.png	No
Kansas	Kansas Land Trust	https://www.klt.org	Kansas_Land_Trust_logo.png	Yes
Kansas	Ranchland Trust of Kansas	https://www.ranchlandtrustofkansas.org	Ranchland_Trust_of_Kansas_logo.png	Yes
Kentucky	Bluegrass Land Conservancy	https://www.bluegrasslandconservancy.org	Bluegrass_Land_Conservancy_logo.png	Yes
Kentucky	Kentucky Natural Lands Trust	https://knlt.org	Kentucky_Natural_Lands_Trust_logo.png	Yes
Kentucky	Louisville & Jefferson County Environmental Trust	https://louisvilleky.gov/government/advanced-planning/land-trust	Louisville_and_Jefferson_County_Environmental_Trust_logo.png	No
Kentucky	River Fields	https://www.riverfields.org	River_Fields_logo.png	Yes
Kentucky	Woods and Waters Land Trust	https://woodsandwaterslandtrust.org	Woods_and_Waters_Land_Trust_logo.png	No
Louisiana	Land Trust for Louisiana	https://www.landtrustforlouisiana.org	Land_Trust_for_Louisiana_logo.png	Yes
Maine	Androscoggin Land Trust	https://androscogginlandtrust.org	Androscoggin_Land_Trust_logo.png	Yes
Maine	Bangor Land Trust	https://www.bangorlandtrust.org	Bangor_Land_Trust_logo.png	Yes
Maine	Blue Hill Heritage Trust	https://www.bluehillheritagetrust.org	Blue_Hill_Heritage_Trust_logo.png	Yes
Maine	Boothbay Region Land Trust	https://bbrlt.org	Boothbay_Region_Land_Trust_logo.png	Yes
Maine	Brunswick-Topsham Land Trust	https://www.btlt.org	Brunswick_Topsham_Land_Trust_logo.png	No
Maine	Cape Elizabeth Land Trust	https://www.capelandtrust.org	Cape_Elizabeth_Land_Trust_logo.png	Yes
Maine	Chebeague & Cumberland Land Trust	https://www.ccltmaine.org	Chebeague_and_Cumberland_Land_Trust_logo.png	No
Maine	Coastal Mountains Land Trust	https://www.coastalmountains.org	Coastal_Mountains_Land_Trust_logo.png	No
Maine	Coastal Rivers Conservation Trust	https://www.coastalrivers.org	Coastal_Rivers_Conservation_Trust_logo.png	No
Maine	Downeast Coastal Conservancy	https://www.downeastcoastalconservancy.org	Downeast_Coastal_Conservancy_logo.png	Yes
Maine	Forest Society of Maine	https://www.fsmaine.org	Forest_Society_of_Maine_logo.png	No
Maine	Frenchman Bay Conservancy	https://www.frenchmanbay.org	Frenchman_Bay_Conservancy_logo.png	No
Maine	Georges River Land Trust	https://www.georgesriver.org	Georges_River_Land_Trust_logo.png	Yes
Maine	Great Pond Mountain Conservation Trust	https://greatpondtrust.org	Great_Pond_Mountain_Conservation_Trust_logo.png	Yes
Maine	Harpswell Heritage Land Trust	https://hhltmaine.org	Harpswell_Heritage_Land_Trust_logo.png	No
Maine	Kennebec Estuary Land Trust	https://www.kennebecestuary.org	Kennebec_Estuary_Land_Trust_logo.png	Yes
Maine	Kennebec Land Trust	https://www.tklt.org	Kennebec_Land_Trust_logo.png	Yes
Maine	Loon Echo Land Trust	https://www.loonecholandtrust.org	Loon_Echo_Land_Trust_logo.png	No
Maine	Mahoosuc Land Trust	https://www.mahoosuc.org	Mahoosuc_Land_Trust_logo.png	Yes
Maine	Maine Coast Heritage Trust	https://www.mcht.org	Maine_Coast_Heritage_Trust_logo.png	Yes
Maine	Maine Farmland Trust	https://www.mainefarmlandtrust.org	Maine_Farmland_Trust_logo.png	Yes
Maine	Midcoast Conservancy	https://www.midcoastconservancy.org	Midcoast_Conservancy_logo.png	Yes
Maine	Oceanside Conservation Trust of Casco Bay	https://oceansidect.org	Oceanside_Conservation_Trust_of_Casco_Bay_logo.png	No
Maine	Orono Land Trust	https://oronolandtrust.org	Orono_Land_Trust_logo.png	Yes
Maine	Rangeley Lakes Heritage Trust	https://rlht.org	Rangeley_Lakes_Heritage_Trust_logo.png	Yes
Maine	Three Rivers Land Trust	https://3rlt.org	Three_Rivers_Land_Trust_logo.png	Yes
Maine	Vinalhaven Land Trust	https://vinalhavenlandtrust.org	Vinalhaven_Land_Trust_logo.png	Yes
Maryland	American Chestnut Land Trust	https://www.acltweb.org	American_Chestnut_Land_Trust_logo.png	Yes
Maryland	Eastern Shore Land Conservancy	https://www.eslc.org	Eastern_Shore_Land_Conservancy_logo.png	Yes
Maryland	Lower Shore Land Trust	https://lowershorelandtrust.org	Lower_Shore_Land_Trust_logo.png	Yes
Maryland	Potomac Conservancy	https://www.potomac.org	Potomac_Conservancy_logo.png	No
Maryland	Scenic Rivers Land Trust	https://www.srlt.org	Scenic_Rivers_Land_Trust_logo.png	No
Massachusetts	Ashburnham Conservation Trust	https://ashburnhamconservationtrust.org	Ashburnham_Conservation_Trust_logo.png	No
Massachusetts	Ashby Land Trust	https://ashbylandtrust.org	Ashby_Land_Trust_logo.png	Yes
Massachusetts	Buzzards Bay Coalition	https://www.savebuzzardsbay.org	Buzzards_Bay_Coalition_logo.png	No
Massachusetts	Dartmouth Natural Resources Trust	https://dnrt.org	Dartmouth_Natural_Resources_Trust_logo.png	Yes
Massachusetts	Groton Conservation Trust	https://www.gctrust.org	Groton_Conservation_Trust_logo.png	Yes
Massachusetts	Kestrel Land Trust	https://www.kestreltrust.org	Kestrel_Land_Trust_logo.png	Yes
Massachusetts	Lowell Parks and Conservation Trust	https://lowelllandtrust.org	Lowell_Parks_and_Conservation_Trust_logo.png	Yes
Massachusetts	Massachusetts Audubon Society	https://www.massaudubon.org	Massachusetts_Audubon_Society_logo.png	Yes
Massachusetts	Mount Grace Land Conservation Trust	https://www.mountgrace.org	Mount_Grace_Land_Conservation_Trust_logo.png	Yes
Massachusetts	Sheriff’s Meadow Foundation	https://sheriffsmeadow.org	Sheriff’s_Meadow_Foundation_logo.png	No
Massachusetts	Sudbury Valley Trustees	https://www.svtweb.org	Sudbury_Valley_Trustees_logo.png	Yes
Massachusetts	The Trustees of Reservations	https://thetrustees.org	The_Trustees_of_Reservations_logo.png	No
Massachusetts	Wareham Land Trust	https://warehamlandtrust.org	Wareham_Land_Trust_logo.png	No
Michigan	Chikaming Open Lands	https://chikamingopenlands.org	Chikaming_Open_Lands_logo.png	No
Michigan	Chippewa Watershed Conservancy	https://www.chippewawatershedconservancy.org	Chippewa_Watershed_Conservancy_logo.png	Yes
Michigan	Grand Traverse Regional Land Conservancy	https://www.gtrlc.org	Grand_Traverse_Regional_Land_Conservancy_logo.png	No
Michigan	Keweenaw Land Trust	https://www.keweenawlandtrust.org	Keweenaw_Land_Trust_logo.png	Yes
Michigan	Land Conservancy of West Michigan	https://naturenearby.org	Land_Conservancy_of_West_Michigan_logo.png	No
Michigan	Leelanau Conservancy	https://leelanauconservancy.org	Leelanau_Conservancy_logo.png	Yes
Michigan	Legacy Land Conservancy	https://legacylandconservancy.org	Legacy_Land_Conservancy_logo.png	Yes
Michigan	Little Forks Conservancy	https://littleforks.org	Little_Forks_Conservancy_logo.png	No
Michigan	Michigan Nature Association	https://michigannature.org	Michigan_Nature_Association_logo.png	Yes
Michigan	North Oakland Headwaters Land Conservancy	https://nohlc.org	North_Oakland_Headwaters_Land_Conservancy_logo.png	Yes
Michigan	Saginaw Basin Land Conservancy	https://www.sblc-mi.org	Saginaw_Basin_Land_Conservancy_logo.png	Yes
Michigan	Six Rivers Land Conservancy	https://sixriversrlc.org	Six_Rivers_Land_Conservancy_logo.png	Yes
Michigan	Southwest Michigan Land Conservancy	https://swmlc.org	Southwest_Michigan_Land_Conservancy_logo.png	Yes
Michigan	Upper Peninsula Land Conservancy	https://uplc.org	Upper_Peninsula_Land_Conservancy_logo.png	Yes
Minnesota	Minnesota Land Trust	https://mnland.org	Minnesota_Land_Trust_logo.png	Yes
Minnesota	Northern Waters Land Trust	https://northernwaterslandtrust.org	Northern_Waters_Land_Trust_logo.png	Yes
Mississippi	Land Trust for the Mississippi Coastal Plain	https://ltmcp.org	Land_Trust_for_the_Mississippi_Coastal_Plain_logo.png	Yes
Missouri	Ozark Regional Land Trust	https://orlt.org	Ozark_Regional_Land_Trust_logo.png	No
Montana	Bitter Root Land Trust	https://www.bitterrootlandtrust.org	Bitter_Root_Land_Trust_logo.png	Yes
Montana	Five Valleys Land Trust	https://www.fvlt.org	Five_Valleys_Land_Trust_logo.png	No
Montana	Flathead Land Trust	https://www.flatheadlandtrust.org	Flathead_Land_Trust_logo.png	No
Montana	Gallatin Valley Land Trust	https://gvlt.org	Gallatin_Valley_Land_Trust_logo.png	Yes
