Organization	URL	File	Status
Wetlands America Trust (affiliate)	https://www.ducks.org/conservation/wetlands-america-trust	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Wetlands_America_Trust_(affiliate)_logo.png	DownloadedIMG
Sustainable Conservation (affiliate)	https://suscon.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Sustainable_Conservation_(affiliate)_logo.svg	SavedSVG
The Trust for Public Land	https://www.tpl.org	The_Trust_for_Public_Land	Fail
Land Trust of North Alabama	https://www.landtrustnal.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Land_Trust_of_North_Alabama_logo.svg	SavedSVG
Great Land Trust	https://greatlandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Great_Land_Trust_logo.svg	SavedSVG
Southeast Alaska Land Trust	https://sealt.org	Southeast_Alaska_Land_Trust	Error
Desert Foothills Land Trust	https://dflandtrust.org	Desert_Foothills_Land_Trust	Error
Cayucos Land Conservancy	https://cayucoslandconservancy.org	Cayucos_Land_Conservancy	Error
Black Canyon Regional Land Trust	https://bcrlt.org	Black_Canyon_Regional_Land_Trust	Fail
Colorado Cattlemen’s Agricultural Land Trust	https://ccalt.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Colorado_Cattlemen’s_Agricultural_Land_Trust_logo.svg	SavedSVG
Colorado Headwaters Land Trust	https://headwaterslandtrust.org	Colorado_Headwaters_Land_Trust	Error
Branford Land Trust	https://branfordlandtrust.org	Branford_Land_Trust	Error
Candlewood Valley Regional Land Trust	https://candlewoodvalleylandtrust.org	Candlewood_Valley_Regional_Land_Trust	Error
Conservation Foundation of the Gulf Coast	https://www.conservationfoundation.com	Conservation_Foundation_of_the_Gulf_Coast	Error
Tall Timbers Research Station & Land Conservancy	https://talltimbers.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Tall_Timbers_Research_Station_and_Land_Conservancy_logo.png	DownloadedIMG
Athens Land Trust	https://athenslandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Athens_Land_Trust_logo.png	DownloadedIMG
Chattooga Conservancy	https://chattoogaconservancy.org	Chattooga_Conservancy	Error
Georgia Piedmont Land Trust	https://gplandtrust.org	Georgia_Piedmont_Land_Trust	Error
St. Simons Land Trust	https://sslt.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/St._Simons_Land_Trust_logo.png	DownloadedIMG
Wood River Land Trust	https://www.woodriverlandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Wood_River_Land_Trust_logo.svg	SavedSVG
Prairie Land Conservancy	https://www.prairielandconservancy.org	Prairie_Land_Conservancy	Fail
The Conservation Foundation	https://www.theconservationfoundation.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/The_Conservation_Foundation_logo.png	DownloadedIMG
The Land Conservancy of McHenry County	https://conservemc.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/The_Land_Conservancy_of_McHenry_County_logo.png	DownloadedIMG
Central Indiana Land Trust	https://www.conservingindiana.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Central_Indiana_Land_Trust_logo.png	DownloadedIMG
NICHES Land Trust	https://www.nicheslandtrust.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/NICHES_Land_Trust_logo.png	DownloadedIMG
Iowa Natural Heritage Foundation	https://www.inhf.org	/Users/landtrust/Projects/dclt-strategic-system-v2/scripts/../data/landtrusts/datasets/screens/logos/Iowa_Natural_Heritage_Foundation_logo.png	DownloadedIMG
Louisville & Jefferson County Environmental Trust	https://louisvilleky.gov/government/advanced-planning/land-trust	Louisville_and_Jefferson_County_Environmental_Trust	Fail
Woods and Waters Land Trust	https://woodsandwaterslandtrust.org	Woods_and_Waters_Land_Trust	Error
Brunswick-Topsham Land Trust	https://www.btlt.org	Brunswick_Topsham_Land_Trust	Error
Chebeague & Cumberland Land Trust	https://www.ccltmaine.org	Chebeague_and_Cumberland_Land_Trust	Error
Coastal Mountains Land Trust	https://www.coastalmountains.org	Coastal_Mountains_Land_Trust	Error
Coastal Rivers Conservation Trust	https://www.coastalrivers.org	Coastal_Rivers_Conservation_Trust	Error
