State	Organization	URL	Status	Title	MetaDescription	H1s	PrimaryNavCTAs	DonateURL	VolunteerURL	LandownerURL	EmailCapture	Socials	CMSHints	AnalyticsHints	Facebook	Instagram	YouTube	LinkedIn
National	Access Fund	https://www.accessfund.org	200	Access Fund	"We are America's climbing advocates. Access Fund is the national advocacy 
organization that leads and inspires the climbing community toward 
sustainable access and conservation of the climbing environment."	We are America’s Climbing Advocates	Donate | Renew	https://accessfund.org/donate?form=donate	https://www.accessfund.org/get-involved/volunteer		No	"{""facebook"": ""https://www.facebook.com/accessfund"", ""twitter"": ""https://twitter.com/accessfund"", ""instagram"": ""https://instagram.com/accessfund/""}"	Squarespace	Google Analytics/Tag Manager	https://www.facebook.com/accessfund	https://instagram.com/accessfund/		
National	Ducks Unlimited	https://www.ducks.org	200	Home | Ducks Unlimited	Ducks Unlimited is the leader in wetland and waterfowl conservation. Established in 1937, Ducks Unlimited is a nonprofit organization dedicated to protecting wetlands, grasslands, and associated habitats to benefit waterfowl, other wildlife, and communities.	The Leader in Wetlands Conservation|Welcome to Ducks Unlimited	|Conservation|For Waterfowl|For Fish & Wildlife|For People|For Sustainability|Habitat Delivery|Science|Public Policy|Fundraising	https://give.ducks.org/campaign/696654/donate	https://www.ducks.org/volunteer	https://www.ducks.org/conservation/land-protection	No	"{""youtube"": ""https://www.youtube.com/user/DucksUnlimitedInc"", ""facebook"": ""https://www.facebook.com/DucksUnlimited"", ""twitter"": ""https://twitter.com/DucksUnlimited"", ""instagram"": ""https://www.instagram.com/ducksunlimitedinc"", ""tiktok"": ""https://www.tiktok.com/@ducksunlimitedinc"", ""linkedin"": ""https://www.linkedin.com/company/ducks-unlimited/jobs/""}"		Google Analytics/Tag Manager	https://www.facebook.com/DucksUnlimited	https://www.instagram.com/ducksunlimitedinc	https://www.youtube.com/user/DucksUnlimitedInc	https://www.linkedin.com/company/ducks-unlimited/jobs/
National	Wetlands America Trust (affiliate)	https://www.ducks.org/conservation/wetlands-america-trust	404	404 | Ducks Unlimited		404 : Page Not Found	|Conservation|For Waterfowl|For Fish & Wildlife|For People|For Sustainability|Habitat Delivery|Science|Public Policy|Fundraising	https://give.ducks.org/campaign/696654/donate	https://www.ducks.org/volunteer	https://www.ducks.org/conservation/land-protection	No	"{""youtube"": ""https://www.youtube.com/user/DucksUnlimitedInc"", ""facebook"": ""https://www.facebook.com/DucksUnlimited"", ""twitter"": ""https://twitter.com/DucksUnlimited"", ""instagram"": ""https://www.instagram.com/ducksunlimitedinc"", ""tiktok"": ""https://www.tiktok.com/@ducksunlimitedinc"", ""linkedin"": ""https://www.linkedin.com/company/ducks-unlimited/jobs/""}"		Google Analytics/Tag Manager	https://www.facebook.com/DucksUnlimited	https://www.instagram.com/ducksunlimitedinc	https://www.youtube.com/user/DucksUnlimitedInc	https://www.linkedin.com/company/ducks-unlimited/jobs/
National	The Conservation Fund	https://www.conservationfund.org	200	Home - The Conservation Fund	Land Sustains Us						No	{}	WordPress	Google Analytics/Tag Manager				
National	Sustainable Conservation (affiliate)	https://suscon.org	200	Homepage | Sustainable Conservation	For a more resilient California Our Vision What could the future look like? California is successfully adapting to and mitigating climate change; our water ecosystems are healthy and supporting California’s diversity of wildlife and people; all Californians have access to clean, reliable, and affordable water and have reduced flood risk; and California agriculture is thriving…	For a more resilient California	Who We Are|Mission and Vision|Our History|Our Team|Board & Advisory Committees|Finances & Accountability|Careers|Contact Us|Our Work|Accelerating Restoration	https://suscon.org/support/ways-to-give/			Yes	"{""youtube"": ""https://www.youtube.com/user/suscon123"", ""facebook"": ""https://www.facebook.com/pages/Sustainable-Conservation/116106692365"", ""instagram"": ""https://instagram.com/sustainable_conservation/"", ""linkedin"": ""https://www.linkedin.com/company/sustainable-conservation?trk=cp_followed_name_sustainable-conservation"", ""twitter"": ""https://twitter.com/SusCon_CA""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/pages/Sustainable-Conservation/116106692365	https://instagram.com/sustainable_conservation/	https://www.youtube.com/user/suscon123	https://www.linkedin.com/company/sustainable-conservation?trk=cp_followed_name_sustainable-conservation
National	The Nature Conservancy	https://www.nature.org/en-us/	200	The Nature Conservancy: A World Where People & Nature Thrive	We're working around the world to protect the lands and waters on which all life depends and fight climate change. Join us.	The Nature Conservancy	Donate|What We Do|What We Do|Our Priorities|Tackle Climate Change|Protect Ocean, Land & Fresh Water|Provide Food and Water|Our Insights|Perspectives|Reports	https://preserve.nature.org/page/175986/donate/1?supporter.appealCode=AHOMA250803W0HXX00	https://www.nature.org/en-us/get-involved/how-to-help/volunteer/		Yes	"{""facebook"": ""https://www.facebook.com/thenatureconservancy"", ""instagram"": ""https://www.instagram.com/nature_org/"", ""linkedin"": ""https://www.linkedin.com/company/the-nature-conservancy/"", ""tiktok"": ""https://www.tiktok.com/@thenatureconservancy"", ""twitter"": ""https://twitter.com/nature_org"", ""youtube"": ""https://www.youtube.com/user/natureconservancy""}"			https://www.facebook.com/thenatureconservancy	https://www.instagram.com/nature_org/	https://www.youtube.com/user/natureconservancy	https://www.linkedin.com/company/the-nature-conservancy/
National	The Trust for Public Land	https://www.tpl.org	200	Trust for Public Land: Connecting Everyone to the Outdoors	TPL creates parks and protects public land so that everyone will have access to the benefits and joys of the outdoors.		Make a Donation|Who We Are|About TPL|Leaders & Experts|Our Impact|Our Mission|Access & Connection|Health & Wellness|History & Culture|Community Engagement	https://www.tpl.org?form=FUNXTAKHPKT			Yes	"{""facebook"": ""https://www.facebook.com/TheTrustforPublicLand/"", ""instagram"": ""https://www.instagram.com/trustforpublicland/"", ""linkedin"": ""https://www.linkedin.com/company/the-trust-for-public-land/"", ""twitter"": ""https://twitter.com/TPL_org"", ""youtube"": ""https://www.youtube.com/user/TrustforPublicLand""}"	WordPress	Google Analytics/Tag Manager|Hotjar	https://www.facebook.com/TheTrustforPublicLand/	https://www.instagram.com/trustforpublicland/	https://www.youtube.com/user/TrustforPublicLand	https://www.linkedin.com/company/the-trust-for-public-land/
National	The Wilderness Land Trust	https://wildernesslandtrust.org	200	The Wilderness Land Trust | A Non-Profit Wilderness Preservation Organization	The Trust acquires wilderness inholdings - private lands within or adjacent to wilderness areas in the western United States - then transfers ownership to the Bureau of Land Management or the U.S. Forest Service for permanent protection.		ABOUT|Our Mission|Our Story|Our Staff|Our Board|Join Our Team|Newsletters|Annual Reports & Financials|HOW WE WORK|Our Process	https://wildernesslandtrust.org/get-involved/donate-now/		https://wildernesslandtrust.org/how-we-work/landowners/	Yes	"{""facebook"": ""https://www.facebook.com/wildernesslandtrust"", ""instagram"": ""https://www.instagram.com/wildernesslandtrust/"", ""twitter"": ""https://twitter.com/WildernessLand""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/wildernesslandtrust	https://www.instagram.com/wildernesslandtrust/		
Alabama	Freshwater Land Trust	https://freshwaterlandtrust.org/	200	Home - Freshwater Land Trust	Freshwater Land Trust conserves, connects, and cares for land and water in Central Alabama, creating dynamic green spaces for future generations.	About Freshwater Land Trust	Who We Are|About Us|Staff|Board of Directors|Junior Board|Corporate Donors|Common Questions|Work With Us|What We Do|Conservation	https://freshwaterlandtrust.org/what-we-do/conservation/fee-simple-donations/	https://freshwaterlandtrust.org/get-involved/volunteer/		No	"{""facebook"": ""https://www.facebook.com/FreshwaterLandTrust"", ""twitter"": ""https://twitter.com/FreshwaterLT"", ""vimeo"": ""https://vimeo.com/freshwaterlandtrust"", ""instagram"": ""https://www.instagram.com/freshwaterlandtrust/"", ""youtube"": ""https://www.youtube.com/channel/UC139aYRjqVjA8PmcJBsmVgA""}"	WordPress		https://www.facebook.com/FreshwaterLandTrust	https://www.instagram.com/freshwaterlandtrust/	https://www.youtube.com/channel/UC139aYRjqVjA8PmcJBsmVgA	
Alabama	Land Trust of North Alabama	https://landtrustnal.org/	200	Home | Land Trust of North Alabama	Create lasting memories as you hike through the best nature trails in North Alabama. You’ll find plenty of spaces to relax, exercise, & connect with nature.	Preserving North Alabama’s Legacy, One Acre at a Time	|	https://landtrustnal.org/support/other-ways-to-give/	https://landtrustnal.org/support/volunteer/		Yes	"{""facebook"": ""https://www.facebook.com/landtrustnal"", ""youtube"": ""https://www.youtube.com/@landtrustofnorthalabama3588"", ""instagram"": ""https://www.instagram.com/landtrustnal/"", ""linkedin"": ""https://www.linkedin.com/company/landtrustnal""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/landtrustnal	https://www.instagram.com/landtrustnal/	https://www.youtube.com/@landtrustofnorthalabama3588	https://www.linkedin.com/company/landtrustnal
Alabama	Weeks Bay Foundation	https://southalabamalandtrust.org	200	Home - South Alabama Land Trust	Preserving wonder. Protecting tomorrow. What we do Make a donation Sign up to volunteer Shop for a gift Formerly the Weeks Bay Foundation South Alabama Land Trust protects land and promotes environmental education in coastal Alabama so current and future residents can enjoy clean water and the marine life, wildlife, and outdoor recreation that define […]	Preserving wonder.Protecting tomorrow.	News & publications|Make a donation|eNews Sign Up|Gift shop	https://southalabamalandtrust.org/general-donation/	https://southalabamalandtrust.org/get-involved/	https://southalabamalandtrust.org/land/	No	"{""facebook"": ""https://www.facebook.com/SouthAlabamaLandTrust"", ""instagram"": ""https://www.instagram.com/southalabamalandtrust/"", ""twitter"": ""https://twitter.com/S_AL_Landtrust"", ""youtube"": ""https://www.youtube.com/channel/UCB5iG-9G5aoUv4n8ov3r-Fg""}"	WordPress	Google Analytics/Tag Manager	https://www.facebook.com/SouthAlabamaLandTrust	https://www.instagram.com/southalabamalandtrust/	https://www.youtube.com/channel/UCB5iG-9G5aoUv4n8ov3r-Fg	
