id,title,slug,type,parent,date,author,link
10,Home,home,page,0,2013-10-04 18:45:29,dcltadmin,https://www.doorcountylandtrust.org/
12,Blog,blog,page,0,2013-10-04 18:45:41,dcltadmin,https://www.doorcountylandtrust.org/blog/
52,Portfolio,portfolio,page,0,2013-10-04 23:50:45,dcltadmin,https://www.doorcountylandtrust.org/portfolio/
1952,About Celebrating Open Spaces,about-celebrating-open-spaces,page,0,2014-05-06 12:45:35,dcltadmin,https://www.doorcountylandtrust.org/about-celebrating-open-spaces/
2499,Bay Shore Blufflands Nature Preserve_2,bay-shore-blufflands-nature-preserve_2,page,0,2014-08-25 14:33:52,dcltadmin,https://www.doorcountylandtrust.org/bay-shore-blufflands-nature-preserve_2/
2509,Volunteer Page,volunteer-page,page,0,2014-09-14 17:37:48,dcltadmin,https://www.doorcountylandtrust.org/volunteer-page/
2533,Membership and Giving,membership-and-giving,page,3185,2014-09-14 22:18:03,dcltadmin,https://www.doorcountylandtrust.org/give-generously/membership-and-giving/
2539,Become a Member,become-a-member,page,2533,2014-09-15 09:43:29,dcltadmin,https://www.doorcountylandtrust.org/give-generously/membership-and-giving/become-a-member/
2668,Little Lake Nature Preserve,little-lake-nature-preserve-3,page,0,2014-11-11 19:29:29,dcltadmin,https://www.doorcountylandtrust.org/little-lake-nature-preserve-3/
2675,Domer-Neff Nature Preserve and Bird Sanctuary,domer-neff-nature-preserve-and-bird-sanctuary,page,0,2014-11-11 20:13:58,dcltadmin,https://www.doorcountylandtrust.org/domer-neff-nature-preserve-and-bird-sanctuary/
2683,Detroit Harbor Nature Preserve,detroit-harbor-nature-preserve,page,0,2014-11-11 21:30:12,dcltadmin,https://www.doorcountylandtrust.org/detroit-harbor-nature-preserve/
2694,Richter Community Forest Nature Preserve,richter-community-forest-nature-preserve,page,0,2014-11-11 21:51:09,dcltadmin,https://www.doorcountylandtrust.org/richter-community-forest-nature-preserve/
2703,Harold C. Wilson Three Springs Nature Preserve,harold-c-wilson-three-springs-nature-preserve,page,0,2014-11-11 22:57:09,dcltadmin,https://www.doorcountylandtrust.org/harold-c-wilson-three-springs-nature-preserve/
2714,Ephraim Preserve at Anderson Pond,ephraim-preserve-at-anderson-pond,page,0,2014-11-12 08:16:28,dcltadmin,https://www.doorcountylandtrust.org/ephraim-preserve-at-anderson-pond/
2725,White Cliff Nature Preserve,white-cliff-nature-preserve,page,0,2014-11-12 08:53:17,dcltadmin,https://www.doorcountylandtrust.org/white-cliff-nature-preserve/
